cod_ibge,municipio_x,fatal_crashes,deaths,truck_fatal,truck_deaths,municipio_y,pop_2022,deaths_per_100k_11yr,truck_share_pct
3551900,SEVERINIA,17,18,2,3.0,Severínia,14576,123.5,11.8
3550803,SAO SEBASTIAO DA GRAMA,17,18,5,6.0,São Sebastião da Grama,10441,172.4,29.4
3539608,PLANALTO,14,18,4,5.0,Planalto,4389,410.1,28.6
3553203,TAIUVA,13,17,3,6.0,Taiúva,6548,259.6,23.1
3517307,GUAIMBE,16,17,4,4.0,Guaimbê,5512,308.4,25.0
3518909,GUZOLANDIA,15,17,2,2.0,Guzolândia,4246,400.4,13.3
3506409,BILAC,16,17,2,2.0,Bilac,7319,232.3,12.5
3525607,JOAO RAMALHO,13,17,4,4.0,João Ramalho,4371,388.9,30.8
3542800,RIBEIRA,16,17,9,10.0,Ribeira,3132,542.8,56.2
3542107,RAFARD,16,17,5,5.0,Rafard,8965,189.6,31.2
3529609,MERIDIANO,15,17,2,2.0,Meridiano,4572,371.8,13.3
3535705,PARAISO,14,17,5,7.0,Paraíso,6099,278.7,35.7
3515202,ESTRELA D OESTE,16,17,4,4.0,Estrela d'Oeste,9417,180.5,25.0
3509908,CANANEIA,16,17,1,1.0,Cananéia,12289,138.3,6.2
3556602,VERA CRUZ,14,16,1,1.0,Vera Cruz,10176,157.2,7.1
3512506,COROADOS,15,16,2,2.0,Coroados,5400,296.3,13.3
3521150,IPIGUA,14,16,1,1.0,Ipiguá,6761,236.7,7.1
3523008,ITAPURA,12,16,2,2.0,Itapura,3979,402.1,16.7
3552007,SILVEIRAS,14,16,4,6.0,Silveiras,6186,258.6,28.6
3501806,AMERICO DE CAMPOS,13,16,2,4.0,Américo de Campos,5870,272.6,15.4
3515905,FLOREAL,12,16,3,4.0,Floreal,2733,585.4,25.0
3532900,NOVA EUROPA,15,16,4,4.0,Nova Europa,9311,171.8,26.7
3544103,RIO GRANDE DA SERRA,15,16,0,0.0,Rio Grande da Serra,44170,36.2,0.0
3515608,FERNANDO PRESTES,16,16,8,8.0,Fernando Prestes,5942,269.3,50.0
3541208,PRESIDENTE BERNARDES,15,16,2,2.0,Presidente Bernardes,14490,110.4,13.3
3523800,ITOBI,13,16,2,2.0,Itobi,8046,198.9,15.4
3540101,PONGAI,13,16,6,7.0,Pongaí,3395,471.3,46.2
