cod_ibge,municipio,pop_2022
3527900,Lutécia,2661
3528007,Macatuba,16829
3528106,Macaubal,7481
3528205,Macedônia,3963
3528304,Magda,3165
3528403,Mairinque,50027
3528502,Mairiporã,93853
3528601,Manduri,9871
3528700,Marabá Paulista,4573
3528809,Maracaí,12673
3528858,Marapoama,3292
3528908,Mariápolis,3513
3529005,Marília,237627
3529104,Marinópolis,1860
3529203,Martinópolis,24881
3529302,Matão,79033
3529401,Mauá,418261
3529500,Mendonça,6159
3529609,Meridiano,4572
3529658,Mesópolis,1952
3529708,Miguelópolis,19441
3529807,Mineiros do Tietê,11230
3529906,Miracatu,18553
3530003,Mira Estrela,3126
3530102,Mirandópolis,27983
3530201,Mirante do Paranapanema,15917
3530300,Mirassol,63337
3530409,Mirassolândia,4669
3530508,Mococa,67681
3530607,Mogi das Cruzes,451505
3530706,Mogi Guaçu,153658
3530805,Mogi Mirim,92558
3530904,Mombuca,3722
3531001,Monções,1937
3531100,Mongaguá,61951
3531209,Monte Alegre do Sul,8627
3531308,Monte Alto,47574
3531407,Monte Aprazível,22280
3531506,Monte Azul Paulista,18151
3531605,Monte Castelo,4222
3531704,Monteiro Lobato,4138
3531803,Monte Mor,64662
3531902,Morro Agudo,27933
3532009,Morungaba,13720
3532058,Motuca,4034
3532108,Murutinga do Sul,3737
3532157,Nantes,2660
3532207,Narandiba,5713
3532306,Natividade da Serra,6999
3532405,Nazaré Paulista,18217
3532504,Neves Paulista,9699
3532603,Nhandeara,9852
3532702,Nipoã,4750
3532801,Nova Aliança,6693
3532827,Nova Campina,8497
3532843,Nova Canaã Paulista,2032
3532868,Nova Castilho,1062
3532900,Nova Europa,9311
3533007,Nova Granada,19419
3533106,Nova Guataporanga,2156
3533205,Nova Independência,4609
3533254,Novais,4412
3533304,Nova Luzitânia,2837
3533403,Nova Odessa,62019
3533502,Novo Horizonte,38324
3533601,Nuporanga,7391
3533700,Ocauçu,4331
3533809,Óleo,2512
3533908,Olímpia,55074
3534005,Onda Verde,4771
3534104,Oriente,6085
3534203,Orindiúva,6024
3534302,Orlândia,38319
3534401,Osasco,728615
3534500,Oscar Bressane,2470
3534609,Osvaldo Cruz,31272
3534708,Ourinhos,103970
3534757,Ouroeste,10294
3534807,Ouro Verde,7779
3534906,Pacaembu,14877
3535002,Palestina,11476
3535101,Palmares Paulista,9650
3535200,Palmeira d'Oeste,8903
3535309,Palmital,19594
3535408,Panorama,14964
3535507,Paraguaçu Paulista,41120
3535606,Paraibuna,17667
3535705,Paraíso,6099
3535804,Paranapanema,19395
3535903,Paranapuã,4031
3536000,Parapuã,10580
3536109,Pardinho,7153
3536208,Pariquera-Açu,19233
3536257,Parisi,2892
3536307,Patrocínio Paulista,14512
3536406,Paulicéia,7955
3536505,Paulínia,110537
3536570,Paulistânia,2090
3536604,Paulo de Faria,7400
3536703,Pederneiras,44827
3536802,Pedra Bela,6557
3536901,Pedranópolis,2787
3537008,Pedregulho,15525
3537107,Pedreira,43112
3537156,Pedrinhas Paulista,2804
3537206,Pedro de Toledo,11281
3537305,Penápolis,61679
3537404,Pereira Barreto,24095
3537503,Pereiras,8737
3537602,Peruíbe,68352
3537701,Piacatu,5519
3537800,Piedade,52970
3537909,Pilar do Sul,27619
3538006,Pindamonhangaba,165428
3538105,Pindorama,14542
3538204,Pinhalzinho,15224
3538303,Piquerobi,3264
3538501,Piquete,12490
3538600,Piracaia,26029
3538709,Piracicaba,423323
3538808,Piraju,29436
3538907,Pirajuí,22431
3539004,Pirangi,10885
3539103,Pirapora do Bom Jesus,18370
3539202,Pirapozinho,25348
3539301,Pirassununga,73545
3539400,Piratininga,15108
3539509,Pitangueiras,33674
3539608,Planalto,4389
3539707,Platina,3025
3539806,Poá,103765
3539905,Poloni,5592
3540002,Pompéia,20196
3540101,Pongaí,3395
3540200,Pontal,37607
3540259,Pontalinda,4127
3540309,Pontes Gestal,2387
3540408,Populina,4127
3540507,Porangaba,10451
3540606,Porto Feliz,56497
3540705,Porto Ferreira,52649
3540754,Potim,20392
3540804,Potirendaba,18496
3540853,Pracinha,2578
3540903,Pradópolis,17078
3541000,Praia Grande,349935
3541059,Pratânia,5126
3541109,Presidente Alves,3804
3541208,Presidente Bernardes,14490
3541307,Presidente Epitácio,39505
3541406,Presidente Prudente,225668
3541505,Presidente Venceslau,35201
3541604,Promissão,35131
3541653,Quadra,3405
3541703,Quatá,13163
3541802,Queiroz,3265
3541901,Queluz,9159
3542008,Quintana,7038
3542107,Rafard,8965
3542206,Rancharia,28588
3542305,Redenção da Serra,4494
3542404,Regente Feijó,20145
3542503,Reginópolis,7662
3542602,Registro,59947
3542701,Restinga,6404
3542800,Ribeira,3132
3542909,Ribeirão Bonito,10989
3543006,Ribeirão Branco,18627
3543105,Ribeirão Corrente,4608
3543204,Ribeirão do Sul,4677
3543238,Ribeirão dos Índios,2025
3543253,Ribeirão Grande,7450
3543303,Ribeirão Pires,115559
3543402,Ribeirão Preto,698642
3543501,Riversul,5599
3543600,Rifaina,4049
3543709,Rincão,9098
3543808,Rinópolis,9259
3543907,Rio Claro,201418
3544004,Rio das Pedras,31328
3544103,Rio Grande da Serra,44170
3544202,Riolândia,10309
3544251,Rosana,17440
3544301,Roseira,10832
3544400,Rubiácea,2700
3544509,Rubinéia,3833
3544608,Sabino,5112
3544707,Sagres,2474
3544806,Sales,6437
3544905,Sales Oliveira,11411
3545001,Salesópolis,15202
3545100,Salmourão,4808
3545159,Saltinho,8161
3545209,Salto,134319
3545308,Salto de Pirapora,43748
3545407,Salto Grande,9050
3545506,Sandovalina,3645
3545605,Santa Adélia,14018
3545704,Santa Albertina,6393
3545803,Santa Bárbara d'Oeste,183347
3546009,Santa Branca,13975
3546108,Santa Clara d'Oeste,2598
3546207,Santa Cruz da Conceição,4277
3546256,Santa Cruz da Esperança,2116
3546306,Santa Cruz das Palmeiras,28864
3546405,Santa Cruz do Rio Pardo,46442
3546504,Santa Ernestina,6118
3546603,Santa Fé do Sul,34794
3546702,Santa Gertrudes,23611
3546801,Santa Isabel,53174
3546900,Santa Lúcia,7149
3547007,Santa Maria da Serra,5243
3547106,Santa Mercedes,2956
3547205,Santana da Ponte Pensa,1670
3547304,Santana de Parnaíba,154105
3547403,Santa Rita d'Oeste,2733
3547502,Santa Rita do Passa Quatro,24833
3547601,Santa Rosa de Viterbo,23411
3547650,Santa Salete,1645
3547700,Santo Anastácio,17963
3547809,Santo André,748919
3547908,Santo Antônio da Alegria,6775
3548005,Santo Antônio de Posse,23244
3548054,Santo Antônio do Aracanguá,8379
3548104,Santo Antônio do Jardim,6126
3548203,Santo Antônio do Pinhal,7133
3548302,Santo Expedito,3000
3548401,Santópolis do Aguapeí,3899
3548500,Santos,418608
